Hello/Oki
Hello friend/Oki napi
How are you?/Tsa niita'piiwa?
I'm doing good, you?/Tsikohssokopii, kistoo?
Not too bad/Matohkwiikii
Let's go/Okí
Yes/Aa
No/Saa
