Water/Aohkii
Fish/Mamii
Oranges/Aotahkoinammiksi
Apples/Aipasstaamiinammiksi
Fries/Paataakistsi
Burger/Pikkiaaksin
Dessert/Pisatsoyiikan
Bread/Napayin
Tea/Siksikimmi
Coffee/Iitapsiksikimmii
